CODESTAB,n,AtendeSUS,Natureza
217,41,,
2269783,348,1, ADMINISTRAÇÃO PÚBLICA 
2269880,1469,1, ADMINISTRAÇÃO PÚBLICA 
2269945,2539,1, ADMINISTRAÇÃO PÚBLICA 
2269988,684,1, ADMINISTRAÇÃO PÚBLICA 
2270021,1825,1, ADMINISTRAÇÃO PÚBLICA 
2270234,4,1, ADMINISTRAÇÃO PÚBLICA 
2270269,2397,1, ADMINISTRAÇÃO PÚBLICA 
2270293,2,1, ADMINISTRAÇÃO PÚBLICA 
2270390,2837,1, ADMINISTRAÇÃO PÚBLICA 
2270609,5776,1, ADMINISTRAÇÃO PÚBLICA 
2270692,168,1, ADMINISTRAÇÃO PÚBLICA 
2270714,4393,1, ADMINISTRAÇÃO PÚBLICA 
2271281,177,,
2271443,1974,0, ENTIDADES SEM FINS LUCRATIVOS 
2271451,1,0, ENTIDADES EMPRESARIAIS 
2273438,401,0, ADMINISTRAÇÃO PÚBLICA 
2277301,1,1, ADMINISTRAÇÃO PÚBLICA 
2280248,5555,1, ADMINISTRAÇÃO PÚBLICA 
2280779,1,1, ADMINISTRAÇÃO PÚBLICA 
2295407,4734,1, ADMINISTRAÇÃO PÚBLICA 
2295415,746,1, ADMINISTRAÇÃO PÚBLICA 
2295423,2,1, ADMINISTRAÇÃO PÚBLICA 
2298120,3538,1, ADMINISTRAÇÃO PÚBLICA 
2708353,949,1, ADMINISTRAÇÃO PÚBLICA 
2708434,1,1, ADMINISTRAÇÃO PÚBLICA 
2814188,5039,1, ENTIDADES EMPRESARIAIS 
3002918,1,0, ENTIDADES SEM FINS LUCRATIVOS 
3012964,3021,0, ENTIDADES EMPRESARIAIS 
3013014,1077,0, ENTIDADES SEM FINS LUCRATIVOS 
3034984,1,0, ENTIDADES EMPRESARIAIS 
3046281,1352,0, ENTIDADES EMPRESARIAIS 
3057496,195,0, ENTIDADES EMPRESARIAIS 
3058336,1305,0, ENTIDADES EMPRESARIAIS 
3113205,1,0, ENTIDADES SEM FINS LUCRATIVOS 
3176355,28,0, ENTIDADES EMPRESARIAIS 
3521133,913,0, ENTIDADES SEM FINS LUCRATIVOS 
3567486,178,1, ADMINISTRAÇÃO PÚBLICA 
3784967,1,1, ADMINISTRAÇÃO PÚBLICA 
3784975,1,1, ADMINISTRAÇÃO PÚBLICA 
5044685,1,1, ADMINISTRAÇÃO PÚBLICA 
5158044,1076,0, ADMINISTRAÇÃO PÚBLICA 
5289025,1008,,
5435234,1,0, ENTIDADES EMPRESARIAIS 
5476607,1,1, ADMINISTRAÇÃO PÚBLICA 
5717256,4294,1, ADMINISTRAÇÃO PÚBLICA 
5955211,1,1, ADMINISTRAÇÃO PÚBLICA 
5955661,1,1, ADMINISTRAÇÃO PÚBLICA 
6026737,1,1, ADMINISTRAÇÃO PÚBLICA 
6037526,2,1, ADMINISTRAÇÃO PÚBLICA 
6037550,1,1, ADMINISTRAÇÃO PÚBLICA 
6043941,414,0, ADMINISTRAÇÃO PÚBLICA 
6159397,6301,0, ENTIDADES EMPRESARIAIS 
6183948,6,0, ENTIDADES EMPRESARIAIS 
6190219,5,0, ENTIDADES EMPRESARIAIS 
6427138,703,0, ENTIDADES EMPRESARIAIS 
6512925,1,1, ADMINISTRAÇÃO PÚBLICA 
6598544,1,1, ADMINISTRAÇÃO PÚBLICA 
6648371,1,1, ADMINISTRAÇÃO PÚBLICA 
6742831,1,1, ADMINISTRAÇÃO PÚBLICA 
6753469,587,0, ADMINISTRAÇÃO PÚBLICA 
6762042,1,1, ADMINISTRAÇÃO PÚBLICA 
6804209,1,1, ADMINISTRAÇÃO PÚBLICA 
6878865,1544,0, ENTIDADES EMPRESARIAIS 
6927289,1,1, ADMINISTRAÇÃO PÚBLICA 
6938124,1,1, ADMINISTRAÇÃO PÚBLICA 
6995462,4694,1, ADMINISTRAÇÃO PÚBLICA 
7027397,5130,1, ADMINISTRAÇÃO PÚBLICA 
7041624,4141,1, ADMINISTRAÇÃO PÚBLICA 
7107366,6,1, ADMINISTRAÇÃO PÚBLICA 
7166494,1,1, ADMINISTRAÇÃO PÚBLICA 
7421710,2105,0, ENTIDADES EMPRESARIAIS 
7535546,2,0, ENTIDADES SEM FINS LUCRATIVOS 
7659415,1691,0, ENTIDADES EMPRESARIAIS 
7735022,22,0, ENTIDADES EMPRESARIAIS 
7894554,1,1, ADMINISTRAÇÃO PÚBLICA 
